"time" "k1_ipm" "k2_ipm" "h1_average" "h2_average"
147240 7.91327608766077e-10 7.29927741402736e-10 -3.0364469 -3.1598789
147300 7.90699455850345e-10 7.29337978612298e-10 -3.0376366 -3.1611353
147360 7.9007167318664e-10 7.28748881524743e-10 -3.0388262 -3.1623917
147420 7.89700823746288e-10 7.28160356720875e-10 -3.0400158 -3.1636481
147480 7.8907409822717e-10 7.27572219153754e-10 -3.0412054 -3.1649045
147540 7.88191855873437e-10 7.26984652680415e-10 -3.042395 -3.1661609
147600 7.87822844706643e-10 7.26514852602587e-10 -3.0435846 -3.1674172
147660 7.8719787852825e-10 7.25928460672077e-10 -3.0447741 -3.1686736
147720 7.86317317226896e-10 7.2522555478472e-10 -3.0459636 -3.1699299
147780 7.85949483136398e-10 7.24757015139356e-10 -3.0471531 -3.1711862
147840 7.85326269722276e-10 7.24171960832532e-10 -3.0483426 -3.1724425
147900 7.84703422214432e-10 7.23587564711639e-10 -3.049532 -3.1736988
147960 7.84081156961306e-10 7.23003825598375e-10 -3.0507215 -3.1749551
148020 7.83459473146819e-10 7.22420560204482e-10 -3.0519109 -3.1762113
148080 7.82838369956415e-10 7.21837859003238e-10 -3.0531003 -3.1774676
148140 7.82217631047459e-10 7.21255721177072e-10 -3.0542896 -3.1787238
148200 7.8159747167932e-10 7.20790502978969e-10 -3.055479 -3.17998
148260 7.80978106032196e-10 7.20209252199841e-10 -3.0566683 -3.1812362
148320 7.80614087374496e-10 7.19628562870287e-10 -3.0578576 -3.1824924
148380 7.79995756983635e-10 7.1904834380773e-10 -3.0590469 -3.1837485
148440 7.79123255962971e-10 7.18352371272056e-10 -3.0602362 -3.1850047
148500 7.78505767453395e-10 7.17773327625457e-10 -3.0614254 -3.1862608
148560 7.78143149327177e-10 7.17427245099317e-10 -3.0626147 -3.1875169
148620 7.77526692095154e-10 7.16849115494175e-10 -3.0638039 -3.1887731
148680 7.76911021775884e-10 7.16155363820112e-10 -3.0649931 -3.1900291
148740 7.76295923861771e-10 7.15578403655478e-10 -3.0661822 -3.1912852
